ref,group,title,title_chars,price,qty,shipping,photos,folder
027,2 - Post next,"Brizo Vettis 24"" Towel Bar, Luxe Nickel - New (692488-NK)",57,165,1,both,3,2 - Post next/027 Brizo Vettis 24inch towel bar - $165
028,2 - Post next,"Brizo Sotria Wall-Mount Bath Faucet Trim, Luxe Nickel - New",59,380,1,both,3,2 - Post next/028 Brizo Wallmount bathroom faucet trim - $380
029,2 - Post next,"Delta Stryke Bathroom Faucet Body, Champagne Bronze - New",57,245,1,both,4,2 - Post next/029 Delta Stryke faucet body  less handle  drain - $245
030,3 - Reshoot or verify first,"Delta Dryden Double Robe Hook, Chrome - New (75135)",51,15,7,bundle,2,3 - Reshoot or verify first/030 Delta Double robe hook - $15
031,3 - Reshoot or verify first,"Delta Dorval 24"" Towel Bar, Stainless - New (75624-SS)",54,100,1,both,3,3 - Reshoot or verify first/031 Delta Dorval 24inch towel bar - $100
032,3 - Reshoot or verify first,"Delta Ara Toilet Tank Lever, Chrome - New (77560)",49,15,8,bundle,3,3 - Reshoot or verify first/032 Delta Ara toilet tank lever - $15
033,3 - Reshoot or verify first,"Delta Linden 24"" Towel Bar, Venetian Bronze - New (79424-RB)",60,30,2,bundle,3,3 - Reshoot or verify first/033 Delta Linden 24inch towel bar - $30
034,3 - Reshoot or verify first,"Delta Dorval Cross Handle Kit, Stainless - New (H562SS)",55,45,1,both,1,3 - Reshoot or verify first/034 Delta Dorval handle - $45
035,2 - Post next,"Ebbe 4"" Square Bubbles Shower Drain Grate, Oil-Rubbed Bronze - New",66,100,1,both,3,2 - Post next/035 Ebbe Bubbles square shower grate - $100
036,2 - Post next,"Isenberg/Flusso Round Wall Elbow, Chrome - New (100.5502CP)",59,15,1,bundle,2,2 - Post next/036 Isenberg Round wall elbow - $15
037,3 - Reshoot or verify first,"Isenberg/Flusso Round Shower Slide Bar, Chrome - New",52,115,3,both,3,3 - Reshoot or verify first/037 Isenberg Round shower slide bar - $115
038,2 - Post next,"Isenberg/Flusso Wall-Mount Tub Spout, Brushed Nickel - New",58,105,2,both,3,2 - Post next/038 Isenberg Tub spout - $105
039,2 - Post next,"Isenberg/Flusso Wall-Mount Tub Spout, Chrome - New (196.2300CP)",63,105,1,both,3,2 - Post next/039 Isenberg Tub spout - $105
040,3 - Reshoot or verify first,"Isenberg/Flusso 8"" Widespread Bathroom Faucet, Brushed Nickel - New",67,210,2,both,3,3 - Reshoot or verify first/040 Isenberg 8inch widespread bathroom faucet - $210
041,3 - Reshoot or verify first,"Isenberg/Flusso Roman Tub Faucet w/ Hand Shower, Brushed Nickel - New",69,295,1,both,4,3 - Reshoot or verify first/041 Isenberg Roman tub faucet with hand shower - $295
042,3 - Reshoot or verify first,Isenberg/Flusso Pressure-Balance Rough Valve w/ Stops - New,59,115,1,both,3,3 - Reshoot or verify first/042 Isenberg Pressurebalance valve with stops - $115
043,2 - Post next,Isenberg/Flusso Pressure-Balance Valve w/ 2-Way Diverter - New,62,115,2,both,3,2 - Post next/043 Isenberg Pressurebalance rough with twoway dive - $115
044,2 - Post next,"Isenberg/Flusso 2-Output Shower Trim, Chrome - New (UF.2100TCP)",63,140,6,both,3,2 - Post next/044 Isenberg Twooutput shower trim - $140
045,3 - Reshoot or verify first,Graff Replacement Cartridge V2038.32.5Z - New,45,5,1,bundle,1,3 - Reshoot or verify first/045 Graff Replacement cartridge - $5
046,3 - Reshoot or verify first,Graff Replacement Cartridge V-2038.31.5Z - New,46,5,1,bundle,1,3 - Reshoot or verify first/046 Graff Replacement cartridge - $5
047,2 - Post next,"Jaclo 3/4"" x 1/2"" Reducing Coupling, Satin Nickel - New",55,35,1,bundle,2,2 - Post next/047 Jaclo Reducing coupling - $35
048,2 - Post next,"Jaclo 60"" Double-Spiral Shower Hose, Graphite - New (3060-DS-GPH)",65,30,1,bundle,2,2 - Post next/048 Jaclo 60inch doublespiral shower hose - $30
049,3 - Reshoot or verify first,"Jaclo 60"" Tile-In Shower Channel Grate, Brushed Stainless - New",63,100,1,local,3,3 - Reshoot or verify first/049 Jaclo 60inch tilein channel grate  grate onl - $100
050,2 - Post next,"Jaclo 48"" Ceiling Shower Nipple, Matte Black - New (801-12.48-MBK)",66,165,1,local,2,2 - Post next/050 Jaclo 48inch ceiling shower nipple - $165
051,2 - Post next,"Jaclo 48"" Linear Shower Drain Body, Brushed Stainless - New",59,180,1,local,3,2 - Post next/051 Jaclo 48inch bottomoutlet drain body - $180
052,2 - Post next,"Jaclo 24"" Zeroedge Linear Shower Drain Body, Brushed Stainless - New",68,135,1,both,3,2 - Post next/052 Jaclo 24inch Zeroedge drain body - $135
