ref,decision_in_package,title,price,qty,photos,cover_grade,buyer,shipping,predicted_performance_estimate,fixes
027,IMPROVE EXISTING,Brizo Vettis 24-inch towel bar Brilliance luxe nickel 692488-NK,165,1,3,B,Accessory/part,SHIP + LOCAL,Fair,
028,IMPROVE EXISTING,Brizo Wall-mount bathroom faucet trim Luxe nickel T65851LF-NK,380,1,3,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),
029,IMPROVE EXISTING,Delta Stryke faucet body — less handle & drain Champagne bronze 576-CZLPU-LHP-DST,245,1,4,B,Trim - needs matching rough valve (contractor/remodel buyer),SHIP + LOCAL,Fair (narrow buyer pool; better with shipping),Use photo 02 as cover (product) - current 01 is box/packaging; Title 81 chars - trim to <=70
030,IMPROVE EXISTING,Delta Double robe hook Chrome 75135,15,7,2,C,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Weak,Cover is box/label - reshoot product before posting; Only 2 photo(s) - aim for 4+
031,HOLD,Delta Dorval 24-inch towel bar Stainless 75624-SS,100,1,3,B,Accessory/part,SHIP + LOCAL,DO NOT POST YET,
032,IMPROVE EXISTING,Delta Ara toilet tank lever Chrome 77560,15,8,3,C,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Weak,Cover is box/label - reshoot product before posting
033,IMPROVE EXISTING,Delta Linden 24-inch towel bar Venetian bronze 79424-RB,30,2,3,C,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Weak,Cover is box/label - reshoot product before posting
034,HOLD,Delta Dorval handle Stainless H562SS,45,1,1,C,Accessory/part,SHIP + LOCAL,DO NOT POST YET,Cover is box/label - reshoot product before posting; Only 1 photo(s) - aim for 4+
035,IMPROVE EXISTING,Ebbe Bubbles square shower grate Oil-rubbed bronze E4812-ORB,100,1,3,A,Accessory/part,SHIP + LOCAL,Good,
036,IMPROVE EXISTING,Isenberg / Flusso Round wall elbow Chrome 100.5502CP,15,1,2,B,Accessory/part,Ship only as a bundle or buyer-paid; local preferred,Fair,Only 2 photo(s) - aim for 4+
037,HOLD,Isenberg / Flusso Round shower slide bar Chrome 100.601001ACP,115,3,3,B,Accessory/part,SHIP + LOCAL,DO NOT POST YET,
038,IMPROVE EXISTING,Isenberg / Flusso Tub spout Brushed nickel 196.2300BN,105,2,3,B,Accessory/part,SHIP + LOCAL,Fair,
039,IMPROVE EXISTING,Isenberg / Flusso Tub spout Chrome 196.2300CP,105,1,3,B,Accessory/part,SHIP + LOCAL,Fair,
040,HOLD,Isenberg / Flusso 8-inch widespread bathroom faucet Brushed nickel 260.2000BN,210,2,3,C,Finished fixture - homeowner + contractor,SHIP + LOCAL,DO NOT POST YET,Use photo 02 as cover (product) - current 01 is box/packaging; Title 77 chars - trim to <=70
