Ref,Recommendation,Group,Reason,New title,Price,Qty,Photos,Photo order (website photo #),Check before posting,Current Facebook listing,Facebook status,Folder
027,"Reshoot, then delete and rebuild",B,Towel bar is only visible through wrap; cover is the sealed box.,"Brizo Vettis 24"" Towel Bar, Luxe Nickel - New (692488-NK)",165,1,4,3 2 1 4,,https://www.facebook.com/marketplace/item/1518312826721611/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/027 Brizo Vettis 24inch towel bar - $165
028,"Reshoot, then delete and rebuild",B,Box photos only; spout visible in its bag in one shot.,"Brizo Sotria Wall-Mount Bath Faucet Trim, Luxe Nickel - New",380,1,4,4 3 1 2,,https://www.facebook.com/marketplace/item/28685482274402530/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/028 Brizo Wallmount bathroom faucet trim - $380
029,Delete and rebuild now,A,Photo 4 (spout close-up) should be the cover; current cover is the box.,"Delta Stryke Bathroom Faucet Body, Champagne Bronze - New",245,1,6,4 2 3 5 1 6,,https://www.facebook.com/marketplace/item/2485948715226416/,Live (verified 2026-09-21),listings/1 - Rebuild now/029 Delta Stryke faucet body  less handle  drain - $245
030,"Keep; edit title, description and photo order",C,Cover shows the hook through the box window; fine for a $15 item. Edit title/description only.,"Delta Dryden Double Robe Hook, Chrome - New (75135)",15,7,3,1 3 2,Photo 3 shows the stack of boxes. Confirm the count matches qty 7.,https://www.facebook.com/marketplace/item/1325608822805162/,Live (verified 2026-09-21),listings/3 - Keep and edit in place/030 Delta Double robe hook - $15
031,Delete and rebuild now,A,Photo 4 shows the bar out of the box; cover is a box label.,"Delta Dorval 24"" Towel Bar, Stainless - New (75624-SS)",100,1,4,4 3 1 2,,https://www.facebook.com/marketplace/item/1050413524278690/,Live (verified 2026-09-21),listings/1 - Rebuild now/031 Delta Dorval 24inch towel bar - $100
032,Delete and rebuild now,A,Single-pack shot (2) is clearer than the 8-box group shot.,"Delta Ara Toilet Tank Lever, Chrome - New (77560)",15,8,3,2 1 3,,https://www.facebook.com/marketplace/item/942206898379987/,Live (verified 2026-09-21),listings/1 - Rebuild now/032 Delta Ara toilet tank lever - $15
033,"Reshoot, then delete and rebuild",B,Only boxes; bars barely visible.,"Delta Linden 24"" Towel Bar, Venetian Bronze - New (79424-RB)",30,2,3,3 2 1,,https://www.facebook.com/marketplace/item/3014042968953379/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/033 Delta Linden 24inch towel bar - $30
034,"Reshoot, then delete and rebuild",B,"Only one photo, of the box. No product shown.","Delta Dorval Cross Handle Kit, Stainless - New (H562SS)",45,1,1,1,,https://www.facebook.com/marketplace/item/1599509605202231/,Live (verified 2026-09-21),listings/2 - Reshoot then rebuild/034 Delta Dorval handle - $45
035,Delete and rebuild now,A,Photo 4 (grate on white) is a strong cover; current cover is the box.,"Ebbe 4"" Square Bubbles Shower Drain Grate, Oil-Rubbed Bronze - New",100,1,4,4 2 1 3,,https://www.facebook.com/marketplace/item/3990012181307431/,Live (verified 2026-09-21),listings/1 - Rebuild now/035 Ebbe Bubbles square shower grate - $100
036,Delete and rebuild now,A,Photo 4 shows the elbow; 2 and 3 are near-duplicates.,"Isenberg/Flusso Round Wall Elbow, Chrome - New (100.5502CP)",15,1,3,4 1 3,,https://www.facebook.com/marketplace/item/1091430906615637/,Live (verified 2026-09-21),listings/1 - Rebuild now/036 Isenberg Round wall elbow - $15
037,Delete and rebuild now,A,Photo 2 shows the slide bar; cover is three boxes.,"Isenberg/Flusso Round Shower Slide Bar, Chrome - New",115,3,4,2 4 1 3,,https://www.facebook.com/marketplace/item/1090774730549133/,Live (verified 2026-09-21),listings/1 - Rebuild now/037 Isenberg Round shower slide bar - $115
038,Delete and rebuild now,A,Photo 3 shows the spout; cover is two boxes.,"Isenberg/Flusso Wall-Mount Tub Spout, Brushed Nickel - New",105,2,4,3 2 1 4,,https://www.facebook.com/marketplace/item/4564765490479842/,Live (verified 2026-09-21),listings/1 - Rebuild now/038 Isenberg Tub spout - $105
